name;seq;start;end;diff
TIGR00497;3;1479500819056;1479500831848;12792;<
TIGR00498;2;1479500831851;1479500831945;94;
TIGR00499;3;1479500831949;1479500850044;18095;<
TIGR00500;5;1479500850048;1479501044152;194104;3.667017052621304
<
3.667017040799692
TIGR00501;3;1479501044156;1479501056494;12338;<
TIGR00502;2;1479501056498;1479501056618;120;
TIGR00505;2;1479501056622;1479501056705;83;
TIGR00507;2;1479501056708;1479501056809;101;
TIGR00508;4;1479501056813;1479501117820;61007;<
<
TIGR00509;2;1479501117824;1479501118011;187;
TIGR00514;2;1479501118015;1479501118124;109;
TIGR00515;2;1479501118128;1479501118235;107;
TIGR00517;3;1479501118238;1479501126832;8594;<
TIGR00518;2;1479501126836;1479501126926;90;
TIGR00519;2;1479501126930;1479501127061;131;
TIGR00520;2;1479501127065;1479501127198;133;
TIGR00521;2;1479501127202;1479501127343;141;
TIGR00525;2;1479501127346;1479501127452;106;
TIGR00526;2;1479501127456;1479501127555;99;
TIGR00530;3;1479501127559;1479501142798;15239;<
TIGR00537;2;1479501142802;1479501142906;104;
TIGR00538;4;1479501142910;1479501260488;117578;<
<
TIGR00539;3;1479501260492;1479501274430;13938;<
TIGR00543;3;1479501274434;1479501310010;35576;<
TIGR00544;3;1479501310013;1479501324988;14975;<
TIGR00549;3;1479501324992;1479501347522;22530;<
TIGR00550;3;1479501347525;1479501359085;11560;<
TIGR00551;2;1479501359089;1479501359237;148;
TIGR00553;2;1479501359240;1479501359348;108;
TIGR00560;3;1479501359351;1479501379328;19977;<
TIGR00561;2;1479501379332;1479501379420;88;
TIGR00563;3;1479501379424;1479501386400;6976;<
TIGR00565;2;1479501386404;1479501386512;108;
TIGR00566;4;1479501386516;1479501452655;66139;<
<
TIGR00571;3;1479501452659;1479501468271;15612;<
TIGR00573;3;1479501468275;1479501484021;15746;<
TIGR00574;2;1479501484025;1479501484148;123;
TIGR00575;3;1479501484152;1479501506350;22198;<
TIGR00576;3;1479501506354;1479501523331;16977;<
TIGR00580;3;1479501523334;1479501543362;20028;<
TIGR00586;2;1479501543366;1479501543459;93;
